"graph","embedder","f_score","name"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_15","spring",0.641545893719807,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_9","spring",0.643848288621647,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_33","spring",0.654445462878093,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_3","spring",0.649717514124294,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_7","node2vec",0.511543134872418,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_18","node2vec",0.495085995085995,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_24","node2vec",0.499693815064299,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_25","node2vec",0.496932515337423,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_13","node2vec",0.541989279332936,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_22","node2vec",0.518742442563482,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_46","node2vec",0.522054380664653,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_0","node2vec",0.493234932349323,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_49","node2vec",0.498774509803922,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_5","node2vec",0.506112469437653,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_8","node2vec",0.497542997542998,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_12","node2vec",0.516949152542373,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_23","node2vec",0.504283965728274,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_16","node2vec",0.495085995085995,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_31","node2vec",0.522316043425814,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_2","node2vec",0.520531400966184,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_44","node2vec",0.52972972972973,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_43","node2vec",0.507317073170732,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_29","node2vec",0.500613496932515,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_38","node2vec",0.503359804520464,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_14","node2vec",0.507917174177832,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_35","node2vec",0.512758201701094,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_26","node2vec",0.496009821976673,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_39","node2vec",0.503667481662592,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_32","node2vec",0.494161032575292,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_19","node2vec",0.500611995104039,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_20","node2vec",0.511543134872418,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_37","node2vec",0.498774509803922,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_47","node2vec",0.50609756097561,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_42","node2vec",0.479205462445686,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_28","node2vec",0.52142426071213,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_27","node2vec",0.501540357362908,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_34","node2vec",0.507917174177832,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_45","node2vec",0.507917174177832,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_48","node2vec",0.496932515337423,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_36","node2vec",0.481091134531928,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_4","node2vec",0.526758869512928,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_1","node2vec",0.51037851037851,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_17","node2vec",0.50609756097561,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_41","node2vec",0.498774509803922,"90-10"
